"unique_trial_id","subject_id","RT","correctness","mousetrackingDuration","movementDirection","exemplar","traveledDistance","trial_type","MAD","AUC","xpos_flips","ypos_flips","initiation_time","total_dist","prototype_label","z_AUC","z_RT","z_initiation_time"
"510",2078,1699,"Correct",1397,65.58109319,"Paris",137,"Typical",521.746588321768,431176,1,2,102,1840.68995436754,"cCoM",0.410576672586547,-0.573484032829982,-0.722279375825463
"512",2076,3334,"Correct",3239,79.53033596,"Barcelona",60,"Atypical",674.376328865901,288177.5,1,1,1350,1720.23741369398,"cCoM",1.42885970129805,0.898502450192324,0.0386331091090415
"513",2076,4695,"Correct",4300,69.9628323,"Dubrovnik",112,"Atypical",570.287997654529,127637.5,3,2,2250,1550.32891157128,"cCoM",0.0924029030022203,1.9386236667683,1.29770658146499
"514",2076,1611,"Correct",1483,55.93335506,"Las Vegas",43,"Typical",579.021597443663,220778.5,1,0,762,1452.72435424243,"cCoM",0.867779274312001,-0.822942277712869,-0.783961559496847
"515",2076,2219,"Correct",2068,55.0151613,"Berlin",36,"Typical",-58.8671501645073,-29305,0,0,1707,768.118409188225,"straight",-1.21410557505025,-0.249454142277483,0.538065586476902
"516",2076,1955,"Correct",1848,49.33834196,"Beijing",49,"Atypical",493.860967356495,180704.5,2,0,898,1474.18026670406,"cCoM",0.534172885032648,-0.46512489406515,-0.593701568118614
"517",2076,2268,"Correct",2060,50.30622378,"Moscow",41,"Typical",-73.7243634786367,-7705,0,0,1530,819.557444900581,"straight",-1.03429078220616,-0.257296715069762,0.290447803580232
"518",2076,1731,"Correct",1611,56.85520183,"London",42,"Typical",434.288567523187,188748.5,2,1,810,1274.42573257947,"cCoM",0.601137245849215,-0.697461113036408,-0.716810974304529
"519",2076,1659,"Correct",1527,48.70258181,"Paris",42,"Typical",75.6360180120027,34326.5,2,0,990,828.304063044354,"straight",-0.684388677325314,-0.779808127355336,-0.464996279833339
"520",2076,3294,"Correct",3207,85.31092953,"Salzburg",86,"Typical",641.915928248091,225636.5,1,3,1628,1523.6498183936,"dCoM",0.908220953184064,0.867132159023209,0.427546915014547
"521",2076,1481,"Correct",1318,49.46852255,"Rom",38,"Typical",74.3191471344839,41428,2,0,874,821.161370568232,"straight",-0.625270401798356,-0.984695341553619,-0.627276860714773
"522",2076,1971,"Correct",1705,72.26719702,"Sydney",49,"Atypical",652.80563065886,279297.5,1,3,180,1627.72824249938,"cCoM",1.35493584201771,-0.605310882727133,-1.5981624049537
"523",2076,4124,"Correct",4067,50.75275967,"Ottawa",86,"Atypical",-38.6630701516339,-20007,0,0,2938,753.503831302769,"straight",-1.13670196653801,1.71020873419318,2.26019830255488
"524",2076,1842,"Correct",1759,53.39865873,"Rio de Janeiro",40,"Atypical",-30.4356037931819,-14727.5,0,0,1274,747.048863489434,"straight",-1.09275140177781,-0.552373516379251,-0.0676886507787944
"525",2069,2606,"Correct",2606,47.09222806,"Rio de Janeiro",37,"Atypical",-6.24777392192358,-326,0,0,2250,902.07935333744,"straight",-0.778477305018347,0.676839420487344,2.23152513620114
"526",2069,1466,"Correct",1465,47.75910766,"Rom",27,"Typical",62.1396978006438,30267.5,1,0,0,937.568983592729,"straight",-0.38810849338006,-0.368388044986828,-1.3843720752359
"527",2069,1016,"Correct",1016,48.02239435,"Berlin",20,"Typical",71.2699193275157,34279,0,0,630,946.044123858868,"straight",-0.336922310436396,-0.779700167684377,-0.371920856033524
"528",2069,1993,"Correct",1993,47.0613995,"Saigon",33,"Atypical",38.8469051517354,17454,0,2,0,924.668219767654,"straight",-0.551606974035336,0.115293025802272,-1.3843720752359
"529",2069,1658,"Correct",1658,48.05309524,"Barcelona",27,"Atypical",97.5430675901452,48120,0,0,1350,951.719437247763,"straight",-0.160313072464751,-0.191587956611267,0.785166251626329
"530",2069,1646,"Correct",1642,45.35042853,"Sydney",30,"Atypical",502.261310664925,245748,2,1,1170,1385.21246267646,"curved",2.36139276395316,-0.206244958756391,0.495894474711365
"531",2069,5135,"Correct",5134,48.62853216,"Ottawa",67,"Atypical",63.637356320258,26072.5,1,0,1350,927.386591476226,"straight",-0.441636110842025,2.99264575941697,0.785166251626329
"532",2069,1250,"Correct",1250,48.32385824,"Las Vegas",26,"Typical",136.20377963241,66127,0,0,900,975.109127838426,"straight",0.0694537469959399,-0.565341511311935,0.0619868093389207
"533",2069,1401,"Correct",1401,48.57659637,"Moscow",27,"Typical",256.103647227511,156328,0,0,990,1111.91011709152,"curved",1.22040598124783,-0.427016053567325,0.206622697796402
"534",2069,1451,"Correct",1450,48.39745369,"Salzburg",26,"Typical",235.923788116776,133287.5,0,2,0,1069.09588000286,"straight",0.926412400763347,-0.382128984497882,-1.3843720752359
"535",2069,1682,"Correct",1600,44.53794728,"Beijing",31,"Atypical",-66.1831385901645,12601.5,1,0,810,941.752416076202,"straight",-0.613524200193664,-0.244719589387342,-0.0826490791185609
"536",2069,2870,"Correct",2869,47.14061408,"Dubrovnik",54,"Atypical",249.540120338805,132247,0,1,1260,1109.16979174165,"straight",0.913135765252221,0.917763893247824,0.640530363168847
"537",2069,1131,"Correct",1131,46.35930579,"London",26,"Typical",-45.4655354123612,-28302.5,0,0,720,909.87472972628,"straight",-1.13545356006594,-0.674352964766296,-0.227284967576043
"538",2069,925,"Correct",925,45.33605969,"Paris",19,"Typical",-35.8760646046005,-24329.5,0,0,630,908.974083658594,"straight",-1.08475863177598,-0.863061867384771,-0.371920856033524
"539",2067,2716,"Correct",2020,57.28266056,"Rom",75,"Typical",161.8,74722,0,3,810,900.317378167168,"curved",-0.0620695414217659,-1.10122133836685,-1.14991519771814
